Date,Country,State/Province,Confirmed,Deaths,Recovered,Active,Tests Conducted
2020-03-15,Italy,Lazio,2176,105,582,1489,4345
2020-03-15,Italy,Veneto,488,5,405,78,6527
2020-03-15,South Africa,Gauteng,4874,191,4662,21,10602
2020-03-15,South Africa,KwaZulu-Natal,3597,31,1919,1647,9579
2020-03-15,South Africa,Western Cape,3297,69,2049,1179,13144
2020-03-16,India,Maharashtra,4045,112,329,3604,5698
2020-03-16,India,Kerala,3539,82,2472,985,8641
2020-03-16,India,Delhi,211,1,58,152,1550
2020-03-16,USA,New York,2207,73,164,1970,6077
2020-03-16,USA,California,3854,132,2668,1054,12099
2020-03-16,USA,Texas,2278,23,1785,470,11334
2020-03-16,Brazil,São Paulo,747,30,356,361,8437
2020-03-16,Brazil,Rio de Janeiro,2730,82,428,2220,6364
2020-03-16,Brazil,Bahia,2701,105,2029,567,8423
2020-03-16,Italy,Lombardy,3280,140,150,2990,11731
2020-03-16,Italy,Lazio,721,20,258,443,7017
2020-03-16,Italy,Veneto,949,25,885,39,10380
2020-03-16,South Africa,Gauteng,9,0,6,3,1897
2020-03-16,South Africa,KwaZulu-Natal,1536,66,740,730,10703
2020-03-16,South Africa,Western Cape,3621,13,833,2775,8996
2020-03-17,India,Maharashtra,4499,33,2359,2107,12677
2020-03-17,India,Kerala,3970,31,118,3821,8890
2020-03-17,India,Delhi,1297,39,1128,130,2521
2020-03-17,USA,New York,4524,104,763,3657,9205
2020-03-17,USA,California,929,29,120,780,4451
2020-03-17,USA,Texas,4082,183,1195,2704,13419
2020-03-17,Brazil,São Paulo,2239,53,1976,210,10975
2020-03-17,Brazil,Rio de Janeiro,1996,58,1128,810,5365
2020-03-17,Brazil,Bahia,3142,48,2455,639,12469
2020-03-17,Italy,Lombardy,1118,55,142,921,6644
2020-03-17,Italy,Lazio,3399,87,3226,86,12717
2020-03-17,Italy,Veneto,2188,105,10,2073,7822
2020-03-17,South Africa,Gauteng,2445,107,2005,333,5879
2020-03-17,South Africa,KwaZulu-Natal,3658,137,1983,1538,10312
2020-03-17,South Africa,Western Cape,2723,96,1865,762,8995
2020-03-18,India,Maharashtra,1545,30,1171,344,8819
2020-03-18,India,Kerala,1913,52,89,1772,8126
2020-03-18,India,Delhi,3874,180,3323,371,11120
2020-03-18,USA,New York,3162,38,2028,1096,4768
2020-03-18,USA,California,1034,32,988,14,7473
2020-03-18,USA,Texas,822,28,102,692,10439
2020-03-18,Brazil,São Paulo,3743,3,2959,781,7104
2020-03-18,Brazil,Rio de Janeiro,3358,167,632,2559,5583
2020-03-18,Brazil,Bahia,3846,67,1386,2393,11358
2020-03-18,Italy,Lombardy,657,21,546,90,7883
2020-03-18,Italy,Lazio,2594,124,2216,254,4182
2020-03-18,Italy,Veneto,560,7,294,259,5287
2020-03-18,South Africa,Gauteng,740,27,100,613,3386
2020-03-18,South Africa,KwaZulu-Natal,3634,42,2842,750,9540
2020-03-18,South Africa,Western Cape,237,0,83,154,2156
2020-03-19,India,Maharashtra,2403,45,1535,823,10459
2020-03-19,India,Kerala,1192,15,1087,90,8943
2020-03-19,India,Delhi,4636,174,1475,2987,8421
2020-03-19,USA,New York,1434,10,1248,176,8701
2020-03-19,USA,California,1972,63,1869,40,5316
2020-03-19,USA,Texas,1902,59,1306,537,7063
2020-03-19,Brazil,São Paulo,3764,65,2731,968,4917
2020-03-19,Brazil,Rio de Janeiro,3811,73,2775,963,13766
2020-03-19,Brazil,Bahia,1294,9,904,381,7955
2020-03-19,Italy,Lombardy,4813,76,3475,1262,9910
2020-03-19,Italy,Lazio,3742,77,815,2850,11044
2020-03-19,Italy,Veneto,3958,27,971,2960,11206
2020-03-19,South Africa,Gauteng,4685,91,2423,2171,10522
2020-03-19,South Africa,KwaZulu-Natal,179,6,70,103,1311
2020-03-19,South Africa,Western Cape,4636,221,401,4014,13774
2020-03-20,India,Maharashtra,2344,99,942,1303,9116
2020-03-20,India,Kerala,1794,81,389,1324,6900
2020-03-20,India,Delhi,1120,40,198,882,2765
2020-03-20,USA,New York,2530,100,1805,625,4076
2020-03-20,USA,California,4747,93,1076,3578,7223
2020-03-20,USA,Texas,2417,41,1701,675,6294
2020-03-20,Brazil,São Paulo,1644,16,1610,18,11481
2020-03-20,Brazil,Rio de Janeiro,2997,135,2055,807,8462
2020-03-20,Brazil,Bahia,1347,32,986,329,7182
2020-03-20,Italy,Lombardy,2774,29,1918,827,5007
2020-03-20,Italy,Lazio,1153,48,462,643,8664
2020-03-20,Italy,Veneto,4565,93,739,3733,12029
2020-03-20,South Africa,Gauteng,114,2,68,44,3138
2020-03-20,South Africa,KwaZulu-Natal,3725,94,2755,876,9020
2020-03-20,South Africa,Western Cape,4788,97,3043,1648,7563
2020-03-21,India,Maharashtra,1915,60,51,1804,8289
2020-03-21,India,Kerala,4997,56,517,4424,13603
2020-03-21,India,Delhi,2475,83,1672,720,5386
2020-03-21,USA,New York,1145,2,76,1067,7131
2020-03-21,USA,California,4035,29,398,3608,8881
2020-03-21,USA,Texas,4403,34,3183,1186,12835
2020-03-21,Brazil,São Paulo,3039,138,1716,1185,6570
2020-03-21,Brazil,Rio de Janeiro,3398,167,405,2826,12415
2020-03-21,Brazil,Bahia,3343,71,134,3138,10413
2020-03-21,Italy,Lombardy,1779,56,910,813,6647
2020-03-21,Italy,Lazio,2971,25,2808,138,9989
2020-03-21,Italy,Veneto,4460,165,2938,1357,6452
2020-03-21,South Africa,Gauteng,3261,70,777,2414,6262
2020-03-21,South Africa,KwaZulu-Natal,3725,23,2714,988,8200
2020-03-21,South Africa,Western Cape,4891,5,414,4472,11355
2020-03-22,India,Maharashtra,1995,16,1611,368,6357
2020-03-22,India,Kerala,562,26,212,324,5100
2020-03-22,India,Delhi,1908,42,1585,281,5325
2020-03-22,USA,New York,4882,0,2271,2611,8252
2020-03-22,USA,California,1064,34,513,517,4922
2020-03-22,USA,Texas,900,42,26,832,4059
2020-03-22,Brazil,São Paulo,121,2,101,18,5019
2020-03-22,Brazil,Rio de Janeiro,4823,82,129,4612,8677
2020-03-22,Brazil,Bahia,2173,6,519,1648,10070
2020-03-22,Italy,Lombardy,4309,29,520,3760,13111
2020-03-22,Italy,Lazio,3672,92,2102,1478,6458
2020-03-22,Italy,Veneto,3702,128,907,2667,5412
2020-03-22,South Africa,Gauteng,4271,77,3752,442,5781
2020-03-22,South Africa,KwaZulu-Natal,498,15,433,50,8078
2020-03-22,South Africa,Western Cape,3492,27,2008,1457,11759
2020-03-23,India,Maharashtra,602,28,82,492,6879
2020-03-23,India,Kerala,4983,37,538,4408,8050
2020-03-23,India,Delhi,2252,79,1331,842,9492
2020-03-23,USA,New York,4893,135,2415,2343,13326
2020-03-23,USA,California,4141,154,1762,2225,6765
2020-03-23,USA,Texas,937,41,666,230,5459
2020-03-23,Brazil,São Paulo,3523,115,935,2473,11302
2020-03-23,Brazil,Rio de Janeiro,2776,116,1633,1027,10591
2020-03-23,Brazil,Bahia,778,20,437,321,6898
2020-03-23,Italy,Lombardy,2088,47,1952,89,5588
2020-03-23,Italy,Lazio,3885,17,373,3495,6283
2020-03-23,Italy,Veneto,763,27,98,638,7868
2020-03-23,South Africa,Gauteng,1065,35,122,908,7465
2020-03-23,South Africa,KwaZulu-Natal,1001,26,362,613,8930
2020-03-23,South Africa,Western Cape,421,9,307,105,6540
2020-03-24,India,Maharashtra,2880,26,2367,487,12193
2020-03-24,India,Kerala,1742,19,1344,379,10642
2020-03-24,India,Delhi,1837,13,717,1107,8859
2020-03-24,USA,New York,941,17,587,337,5646
2020-03-24,USA,California,3515,143,3143,229,4945
2020-03-24,USA,Texas,4988,237,2190,2561,6462
2020-03-24,Brazil,São Paulo,1477,34,1439,4,7539
2020-03-24,Brazil,Rio de Janeiro,2783,89,25,2669,6755
2020-03-24,Brazil,Bahia,1173,36,820,317,3313
2020-03-24,Italy,Lombardy,1162,47,62,1053,3665
2020-03-24,Italy,Lazio,4345,55,3081,1209,12223
2020-03-24,Italy,Veneto,3716,87,644,2985,10778
2020-03-24,South Africa,Gauteng,2552,83,2324,145,4943
2020-03-24,South Africa,KwaZulu-Natal,430,4,80,346,2245
2020-03-24,South Africa,Western Cape,668,17,453,198,8615
2020-03-25,India,Maharashtra,3978,155,1810,2013,11763
2020-03-25,India,Kerala,2237,27,2098,112,5101
2020-03-25,India,Delhi,2827,110,454,2263,8467
2020-03-25,USA,New York,4858,124,4316,418,10911
2020-03-25,USA,California,372,7,202,163,2269
2020-03-25,USA,Texas,62,1,19,42,4522
2020-03-25,Brazil,São Paulo,1124,48,523,553,6866
2020-03-25,Brazil,Rio de Janeiro,2687,30,31,2626,11836
2020-03-25,Brazil,Bahia,3527,44,529,2954,10756
2020-03-25,Italy,Lombardy,4362,180,1885,2297,13558
2020-03-25,Italy,Lazio,4577,213,2901,1463,6757
2020-03-25,Italy,Veneto,3252,10,1786,1456,4559
2020-03-25,South Africa,Gauteng,3766,19,3531,216,9895
2020-03-25,South Africa,KwaZulu-Natal,4716,109,3313,1294,12559
2020-03-25,South Africa,Western Cape,2371,14,1659,698,3712
2020-03-26,India,Maharashtra,2660,43,2531,86,11198
2020-03-26,India,Kerala,2964,22,1788,1154,5698
2020-03-26,India,Delhi,1993,55,1206,732,9553
2020-03-26,USA,New York,4292,20,3242,1030,10375
2020-03-26,USA,California,2781,56,1364,1361,6535
2020-03-26,USA,Texas,625,7,543,75,9980
2020-03-26,Brazil,São Paulo,1588,44,719,825,5007
2020-03-26,Brazil,Rio de Janeiro,1935,13,299,1623,7128
2020-03-26,Brazil,Bahia,1616,22,1233,361,5120
2020-03-26,Italy,Lombardy,617,5,505,107,9218
2020-03-26,Italy,Lazio,4618,194,3677,747,10913
2020-03-26,Italy,Veneto,2589,38,1801,750,4707
2020-03-26,South Africa,Gauteng,3841,113,2586,1142,9802
2020-03-26,South Africa,KwaZulu-Natal,2250,75,230,1945,9016
2020-03-26,South Africa,Western Cape,4156,18,2542,1596,12721
2020-03-27,India,Maharashtra,3702,9,233,3460,10743
2020-03-27,India,Kerala,2351,9,369,1973,11658
2020-03-27,India,Delhi,3149,118,2377,654,4821
2020-03-27,USA,New York,3684,146,2669,869,7768
2020-03-27,USA,California,2633,121,2053,459,6104
2020-03-27,USA,Texas,506,14,52,440,7132
2020-03-27,Brazil,São Paulo,690,32,176,482,2331
2020-03-27,Brazil,Rio de Janeiro,2029,90,896,1043,10228
2020-03-27,Brazil,Bahia,4293,133,1300,2860,11255
2020-03-27,Italy,Lombardy,3054,72,1586,1396,10751
2020-03-27,Italy,Lazio,2771,13,2584,174,9253
2020-03-27,Italy,Veneto,539,10,96,433,7872
2020-03-27,South Africa,Gauteng,2327,32,615,1680,8788
2020-03-27,South Africa,KwaZulu-Natal,667,9,358,300,6749
2020-03-27,South Africa,Western Cape,3210,33,2437,740,5598
2020-03-28,India,Maharashtra,2536,71,1542,923,8917
2020-03-28,India,Kerala,1046,42,719,285,10670
2020-03-28,India,Delhi,765,27,520,218,7693
2020-03-28,USA,New York,149,5,79,65,4102
2020-03-28,USA,California,1754,43,1569,142,10721
2020-03-28,USA,Texas,1572,28,281,1263,5110
2020-03-28,Brazil,São Paulo,632,18,103,511,9949
2020-03-28,Brazil,Rio de Janeiro,4421,213,309,3899,10938
2020-03-28,Brazil,Bahia,1073,38,771,264,4600
2020-03-28,Italy,Lombardy,1329,23,1279,27,5041
2020-03-28,Italy,Lazio,3585,11,1682,1892,10553
2020-03-28,Italy,Veneto,1945,56,1250,639,7613
2020-03-28,South Africa,Gauteng,3677,59,2187,1431,8595
2020-03-28,South Africa,KwaZulu-Natal,2535,123,1921,491,6713
2020-03-28,South Africa,Western Cape,3013,146,1804,1063,11577
2020-03-29,India,Maharashtra,2308,99,1564,645,11547
2020-03-29,India,Kerala,4320,107,1327,2886,8591
2020-03-29,India,Delhi,4953,35,2048,2870,6807
2020-03-29,USA,New York,3936,95,2271,1570,6616
2020-03-29,USA,California,4226,31,2335,1860,6600
2020-03-29,USA,Texas,1313,34,920,359,10723
2020-03-29,Brazil,São Paulo,1207,53,895,259,3709
2020-03-29,Brazil,Rio de Janeiro,1818,57,715,1046,3254
2020-03-29,Brazil,Bahia,3398,13,1623,1762,12622
2020-03-29,Italy,Lombardy,3063,60,1581,1422,5400
2020-03-29,Italy,Lazio,3071,57,115,2899,9292
2020-03-29,Italy,Veneto,811,21,149,641,4065
2020-03-29,South Africa,Gauteng,313,9,241,63,3586
2020-03-29,South Africa,KwaZulu-Natal,3842,114,2520,1208,4928
2020-03-29,South Africa,Western Cape,649,1,262,386,5182
2020-03-30,India,Maharashtra,1224,35,1080,109,9158
2020-03-30,India,Kerala,910,18,243,649,6844
2020-03-30,India,Delhi,998,3,244,751,8876
2020-03-30,USA,New York,3744,16,454,3274,12933
2020-03-30,USA,California,4888,137,134,4617,14331
2020-03-30,USA,Texas,4710,61,1176,3473,10482
2020-03-30,Brazil,São Paulo,3516,0,2518,998,10296
2020-03-30,Brazil,Rio de Janeiro,1970,73,853,1044,6038
2020-03-30,Brazil,Bahia,701,33,369,299,2809
2020-03-30,Italy,Lombardy,4309,139,4156,14,13625
2020-03-30,Italy,Lazio,4539,5,3198,1336,13241
2020-03-30,Italy,Veneto,356,12,191,153,5511
2020-03-30,South Africa,Gauteng,133,2,17,114,6782
2020-03-30,South Africa,KwaZulu-Natal,1975,93,1345,537,4673
2020-03-30,South Africa,Western Cape,4766,188,2723,1855,7951
2020-03-31,India,Maharashtra,363,11,279,73,6909
2020-03-31,India,Kerala,1434,59,980,395,5420
2020-03-31,India,Delhi,1104,4,937,163,2709
2020-03-31,USA,New York,2403,25,179,2199,6671
2020-03-31,USA,California,343,10,158,175,9787
2020-03-31,USA,Texas,3262,139,1939,1184,8412
2020-03-31,Brazil,São Paulo,299,12,97,190,5986
2020-03-31,Brazil,Rio de Janeiro,2924,12,2685,227,9362
2020-03-31,Brazil,Bahia,2238,15,1507,716,10397
2020-03-31,Italy,Lombardy,3276,112,1583,1581,9830
2020-03-31,Italy,Lazio,1530,63,1417,50,10681
2020-03-31,Italy,Veneto,3009,132,1092,1785,5362
2020-03-31,South Africa,Gauteng,3477,20,1763,1694,7433
2020-03-31,South Africa,KwaZulu-Natal,4468,75,2631,1762,7148
2020-03-31,South Africa,Western Cape,655,20,302,333,6676
2020-04-01,India,Maharashtra,3652,154,2939,559,11633
2020-04-01,India,Kerala,1365,56,719,590,9690
2020-04-01,India,Delhi,346,11,314,21,8472
2020-04-01,USA,New York,2249,81,234,1934,4478
2020-04-01,USA,California,3327,93,2101,1133,6948
2020-04-01,USA,Texas,255,2,217,36,8434
2020-04-01,Brazil,São Paulo,285,2,34,249,5151
2020-04-01,Brazil,Rio de Janeiro,3000,92,1568,1340,4530
2020-04-01,Brazil,Bahia,4956,39,3685,1232,12033
2020-04-01,Italy,Lombardy,3047,113,314,2620,6302
2020-04-01,Italy,Lazio,4337,93,3260,984,10487
